u1,u2,u3,u4,u5,u6,v
0,1,1,0,1,0,1
0,0,0,1,1,1,0
0,1,1,0,1,0,1
0,1,1,0,1,0,1
0,1,0,0,1,0,1
1,1,1,0,1,0,1
0,1,0,0,1,0,1
0,1,1,0,1,0,1
1,0,1,1,0,1,0
0,1,1,0,1,0,1
0,0,0,1,1,0,0
0,1,1,0,0,0,1
0,0,0,0,1,0,1
1,1,1,0,1,0,1
1,0,0,1,1,1,0
1,0,0,1,0,1,0
0,1,1,0,1,0,1
0,1,1,0,1,0,1
0,1,0,0,1,0,1
0,0,1,1,1,0,1
1,1,0,0,1,0,1
0,1,0,1,1,0,1
1,0,1,1,0,1,0
0,1,0,0,0,1,0
1,0,0,1,1,1,0
0,1,1,0,0,0,1
1,1,1,0,0,0,1
1,1,1,0,1,1,0
0,1,0,1,0,0,1
0,1,1,0,1,0,1
0,1,0,0,1,0,1
1,1,1,0,0,0,1
0,1,0,0,0,0,1
0,1,1,0,1,0,1
0,0,0,1,0,0,1
0,1,1,0,1,0,1
0,1,1,1,1,0,1
0,1,1,1,1,1,0
0,1,1,0,1,0,1
1,1,0,1,1,1,0
0,1,1,1,0,0,1
0,0,1,1,0,1,0
1,1,1,1,0,1,0
0,1,0,0,1,0,1
0,0,1,0,1,0,1
1,0,0,0,1,1,0
1,1,0,1,1,1,0
0,1,1,0,0,1,1
1,0,1,1,1,1,0
0,1,1,0,0,0,1
0,1,1,0,1,0,1
1,1,0,1,0,1,0
0,1,0,0,0,0,1
0,1,1,1,1,1,1
1,1,0,0,0,0,1
0,0,1,0,1,0,1
0,1,1,0,1,0,1
0,1,1,0,1,0,1
0,1,1,1,0,0,1
0,1,0,0,1,0,1
1,0,0,1,1,1,0
0,1,1,0,1,0,1
0,1,1,0,1,0,1
0,1,0,0,0,0,1
1,1,0,1,1,1,0
0,1,1,0,1,0,1
1,1,1,0,1,0,1
0,1,0,1,1,0,1
1,0,0,1,0,1,0
1,0,0,0,1,1,0
0,1,1,1,0,0,1
0,0,1,0,1,0,1
0,0,1,0,0,0,1
1,0,1,1,1,1,0
0,1,0,0,1,0,1
1,1,0,1,1,1,0
0,1,1,0,1,0,1
0,1,1,0,1,0,1
1,1,0,1,1,1,0
1,1,1,0,0,0,1
0,1,0,1,1,1,1
1,1,1,0,1,0,1
0,1,1,0,0,0,1
1,1,0,1,0,0,0
1,0,1,1,1,0,0
1,0,0,1,0,1,0
0,0,1,1,0,1,0
0,1,1,0,1,0,1
1,0,1,1,1,1,0
0,1,1,0,1,0,1
0,1,1,0,1,0,1
1,1,1,0,1,0,1
0,1,1,0,0,0,1
1,0,0,1,0,1,0
1,1,0,1,1,1,0
0,1,1,0,1,0,1
0,1,1,0,1,0,1
1,0,0,0,1,1,0
0,1,0,0,0,0,1
0,1,1,0,0,0,1
0,1,0,0,1,0,1
0,1,1,0,0,0,1
0,1,1,0,1,0,1
0,0,1,0,1,0,1
1,1,0,1,0,1,0
0,1,0,0,1,0,1
0,1,1,0,1,0,1
1,0,0,1,0,0,0
1,0,0,1,1,0,0
0,1,1,0,1,0,1
0,1,0,0,1,0,1
0,0,1,1,1,1,0
1,0,1,1,1,1,0
0,1,0,0,1,0,1
0,1,0,0,0,0,1
1,1,0,0,0,0,1
1,0,0,1,1,1,0
1,1,0,0,0,0,1
0,1,1,0,1,0,1
0,1,1,1,1,1,1
0,1,1,0,1,0,1
0,1,1,0,1,0,1
1,0,1,1,1,1,0
0,1,1,0,0,0,1
0,1,1,0,1,0,1
0,1,1,0,1,0,1
0,1,1,0,0,0,1
0,1,1,1,0,1,1
0,1,1,0,1,0,1
0,1,1,0,1,0,1
0,1,1,1,0,1,0
1,1,0,0,1,0,1
1,0,0,1,1,1,0
0,1,1,0,1,0,1
1,1,1,0,1,0,1
1,0,0,1,0,1,0
0,0,1,0,1,0,1
0,1,0,0,1,0,1
1,0,1,1,1,1,0
1,0,0,0,1,1,0
0,1,0,0,1,0,1
1,0,1,0,0,0,0
0,1,0,0,0,0,1
0,0,0,0,1,0,1
0,0,0,1,0,1,0
0,1,1,0,0,0,1
1,0,0,1,0,0,0
0,1,1,0,1,0,1
0,1,1,0,0,0,1
1,1,0,1,1,1,0
0,0,0,1,0,1,0
0,1,1,0,1,0,1
0,1,1,0,1,0,1
0,1,0,0,0,0,1
0,1,0,0,0,0,1
0,1,1,0,1,0,1
0,1,0,1,1,1,0
0,1,1,0,1,0,1
0,1,1,0,1,0,1
1,1,1,1,0,0,1
1,0,0,1,0,1,0
0,1,1,0,1,0,1
0,0,0,1,1,1,0
1,0,1,1,0,1,0
0,1,0,0,1,0,1
1,1,1,1,1,0,1
0,1,1,1,1,0,1
0,1,0,0,1,0,1
0,1,0,0,1,0,1
1,0,1,1,1,1,0
0,0,0,0,1,0,1
1,0,0,1,1,1,0
1,0,0,1,0,1,0
1,1,0,0,1,1,1
1,0,0,0,1,1,0
0,1,1,0,0,0,1
0,1,1,0,0,0,1
1,0,0,1,1,1,0
1,1,0,1,1,1,0
1,0,0,1,0,1,0
1,1,0,0,1,0,1
1,0,0,1,1,1,0
1,0,0,0,0,1,0
1,0,1,1,1,1,0
1,0,1,1,1,1,0
0,1,1,0,1,0,1
1,1,0,1,0,1,0
1,0,1,1,0,1,0
0,1,1,0,1,0,1
0,1,1,1,0,1,0
1,0,0,1,1,1,0
0,0,1,0,1,0,1
1,1,0,0,0,1,0
1,1,1,0,1,0,1
0,1,1,0,1,0,1
0,1,1,0,1,0,1
1,0,1,1,1,1,0
1,0,1,0,1,1,0
1,0,0,0,0,1,0
1,0,0,1,1,1,0
1,1,1,0,1,0,1
0,1,1,0,1,1,1
0,1,1,0,1,0,1
0,1,1,1,1,0,1
0,1,1,0,1,0,1
0,1,1,0,1,0,1
1,1,1,0,1,0,1
1,1,1,1,1,0,1
0,1,0,0,1,0,1
0,0,0,1,1,1,0
0,1,1,0,1,0,1
0,1,1,0,1,0,1
1,0,0,1,1,0,0
1,1,1,1,1,0,1
0,1,1,0,1,0,1
0,1,1,0,0,0,1
0,1,1,0,1,0,1
0,1,0,1,1,1,0
0,1,1,0,1,0,1
1,0,0,1,1,1,0
0,1,1,0,1,0,1
1,0,0,1,1,1,0
1,0,0,1,1,1,0
1,0,1,1,0,1,0
1,0,1,1,0,1,0
0,1,1,0,1,0,1
1,0,0,1,1,1,0
1,1,1,0,1,0,1
0,1,0,1,1,0,1
0,1,1,0,1,0,1
0,0,0,0,1,1,0
0,1,0,1,1,0,1
1,1,0,1,1,1,0
1,0,0,1,0,0,0
1,1,1,1,1,0,1
1,0,1,1,0,1,0
0,0,1,0,1,0,1
1,0,0,1,1,1,0
1,1,0,1,1,1,0
0,0,0,1,0,1,0
0,0,0,1,1,1,0
0,1,1,0,0,0,1
1,0,0,1,0,1,0
0,1,1,0,1,0,1
1,1,0,1,1,1,0
1,0,0,1,0,1,0
0,1,1,0,1,0,1
0,0,0,1,0,1,0
0,1,1,0,1,0,1
0,1,1,0,1,0,1
0,1,1,0,1,0,1
1,0,1,1,0,1,0
1,0,0,1,1,1,0
0,1,1,1,0,1,1
1,0,1,1,1,1,0
1,0,0,1,1,1,0
0,1,0,1,1,0,1
1,1,1,0,1,0,1
1,0,0,1,0,1,0
1,0,0,1,1,1,0
1,0,0,1,1,1,0
0,1,1,0,1,1,1
0,1,0,0,1,1,1
0,1,0,0,1,0,1
0,1,1,0,1,0,1
1,1,1,1,0,0,1
0,1,1,0,1,0,1
1,0,1,0,0,0,0
1,1,1,0,1,0,1
0,1,1,0,1,0,1
1,0,1,1,1,1,0
1,0,0,1,1,1,0
1,0,0,1,1,1,0
1,0,0,1,1,1,0
0,1,0,0,0,0,1
1,1,1,1,0,1,0
0,1,1,0,0,0,1
0,1,1,1,0,1,0
0,1,1,0,1,0,1
0,1,1,0,1,0,1
0,1,1,0,1,0,1
0,1,1,0,1,0,1
0,0,1,1,1,1,0
0,0,0,1,1,1,0
0,1,1,1,1,0,1
0,1,1,1,1,1,1
0,1,1,0,1,0,1
0,1,0,1,1,1,0
0,1,1,1,1,0,1
1,1,1,0,0,0,1
1,0,0,0,1,1,0
0,1,0,0,1,0,1
1,1,1,0,1,0,1
0,0,0,1,0,1,0
0,1,0,0,1,0,1
0,0,0,1,0,1,0
0,1,0,0,0,0,1
0,1,1,0,1,0,1
0,0,0,0,1,0,1
1,0,1,1,0,1,0
0,0,0,0,1,0,1
1,0,0,1,0,1,0
1,1,1,1,1,0,1
0,0,1,1,1,1,0
1,0,0,1,1,1,0
0,1,0,0,0,0,1
0,1,0,0,1,0,1
0,1,1,0,1,0,1
0,1,1,0,1,0,1
0,0,1,0,1,0,1
0,1,1,0,1,1,1
0,1,0,0,1,0,1
1,0,0,1,1,1,0
0,1,0,0,1,0,1
1,0,0,1,1,1,0
1,1,1,0,1,0,1
0,1,0,0,1,0,1
0,0,0,1,0,1,0
0,1,1,1,1,0,1
0,0,1,0,1,0,1
0,0,0,1,0,1,0
0,1,1,0,1,0,1
1,0,0,1,1,1,0
0,1,1,0,1,1,1
0,0,1,1,1,1,0
1,0,0,1,0,1,0
0,1,0,0,0,0,1
0,1,1,0,1,0,1
1,1,1,0,1,0,1
0,0,1,0,1,0,1
0,1,1,0,1,0,1
1,0,0,1,1,1,0
0,1,0,0,1,0,1
1,0,0,0,0,1,0
0,1,1,1,1,0,1
1,0,0,1,0,1,0
1,0,0,1,0,1,0
0,1,1,0,0,0,1
0,1,1,0,1,0,1
0,1,0,0,1,0,1
0,1,1,0,1,0,1
1,0,0,1,1,1,0
0,1,1,1,1,0,1
0,1,1,0,1,0,1
1,0,1,1,0,1,0
1,0,1,1,1,1,0
1,0,0,1,0,1,0
1,1,1,1,1,0,1
0,1,1,1,1,0,1
0,1,1,0,1,0,1
1,0,0,1,1,1,0
1,0,0,1,1,1,0
0,0,0,1,1,1,0
0,1,1,1,0,0,1
0,0,0,1,1,1,0
0,1,1,0,1,0,1
0,1,1,0,0,0,1
1,0,0,0,1,1,0
0,1,1,0,1,0,1
1,0,0,1,0,1,0
0,1,1,1,1,0,1
0,1,0,1,1,0,1
0,0,0,1,1,1,0
1,0,1,0,0,1,0
0,1,1,0,0,0,1
0,1,1,0,1,0,1
1,1,1,0,0,0,1
1,1,1,0,1,0,1
1,0,1,0,1,1,1
1,0,1,1,1,1,0
1,0,1,1,1,1,0
1,0,0,1,1,1,0
1,0,1,1,1,1,0
0,1,0,1,1,0,1
0,1,1,1,1,0,1
0,1,1,0,1,0,1
1,0,1,0,1,1,0
1,0,1,1,1,1,1
1,1,1,0,0,0,1
0,0,0,1,1,1,0
0,1,1,0,0,0,1
1,0,1,1,1,1,0
0,1,1,0,1,0,1
0,1,1,0,1,0,1
1,1,1,0,1,0,1
0,1,1,0,0,0,1
0,1,1,0,0,0,1
0,1,0,1,1,0,1
0,1,1,0,1,0,1
